date,article_count,avg_tone,risk_signal,_source,_fetched_at,_run_id
2026-06-15,5168,-1.1461213140017035,0.6213,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-16,4813,-1.2882653540132585,0.6013,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-17,4108,-1.5216591242904953,0.5544,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-18,4836,-1.311848904562745,0.6075,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-19,4049,-2.106618021265874,0.6351,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-20,3244,-2.558895514169542,0.6094,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-21,4641,-2.0271417188971017,0.692,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-22,5006,-1.5637257364711195,0.665,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-23,4630,-1.00403308607887,0.5375,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-24,4311,-1.2511074879861044,0.5375,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-25,3783,-1.8209762879322986,0.5615,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-26,2783,-2.508250134759766,0.5483,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-27,2134,-3.17587125043364,0.5728,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-28,2726,-3.6763515070564146,0.7165,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-29,3562,-2.324780703052249,0.6112,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-06-30,3226,-1.799592351820029,0.4936,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-01,3313,-1.6126196470773564,0.4757,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-02,3311,-1.961974682572678,0.5278,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-03,3086,-2.2433557925946856,0.5438,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-04,2210,-2.4488776443427693,0.4728,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-05,1942,-2.213536401462309,0.4065,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-06,2241,-2.0874946142515025,0.4224,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-07,3009,-2.6940806321537587,0.6023,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-08,4506,-3.3150443425470364,0.8691,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-09,4269,-3.351178213369296,0.847,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-10,3577,-3.0333231453070657,0.719,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-11,2752,-2.772466434019501,0.5842,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-12,3155,-3.3455375509707324,0.7168,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-13,4415,-3.2344731210868938,0.8464,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
2026-07-14,4680,-3.549094532687806,0.9243,GDELT,2026-07-15T14:55:58.763702+00:00,50c7068c8027
